,Distance
1172,5.645132615
1173,11.4117891
1174,5.42929876
1175,5.42929876
1176,7.765243834
1177,7.765243834
1178,7.765243834
1179,7.765243834
1180,7.765243834
1181,5.42929876
1182,7.126264668
1183,5.42929876
1184,5.42929876
1185,5.645132615
1186,11.4117891
1187,5.645132615
1188,11.4117891
1189,5.42929876
1190,5.42929876
1191,5.42929876
1192,5.42929876
1193,5.645132615
1194,11.4117891
1195,7.126264668
1196,7.126264668
1197,6.752678822
1198,5.645132615
1199,6.752678822
1200,6.752678822
1201,5.42929876
1202,5.645132615
1203,5.645132615
1204,5.645132615
1205,5.645132615
1206,7.126264668
1207,5.42929876
1208,5.645132615
1209,6.752678822
1210,5.42929876
1211,6.752678822
1212,6.752678822
1213,5.42929876
1214,5.42929876
1215,5.42929876
1216,5.42929876
1217,7.765243834
1218,7.765243834
1219,5.42929876
1220,7.126264668
1221,5.42929876
1222,6.752678822
1223,6.752678822
1224,5.42929876
1225,8.526360903
1226,5.645132615
1227,5.645132615
1228,5.42929876
1229,5.645132615
1230,5.42929876
1231,7.543949659
1232,7.543949659
1233,5.42929876
1234,5.645132615
1235,7.765243834
1236,7.765243834
1237,7.765243834
1238,5.42929876
1239,5.42929876
1240,5.645132615
1241,5.42929876
1242,5.645132615
1243,5.42929876
1244,5.42929876
1245,5.645132615
1246,5.645132615
1247,5.645132615
1248,5.645132615
1249,5.645132615
1250,5.42929876
1251,5.645132615
1252,5.42929876
1253,5.645132615
1254,5.42929876
1255,5.645132615
1256,6.752678822
1257,5.42929876
1258,5.645132615
1259,5.42929876
1260,6.752678822
1261,6.752678822
1262,4.259099193
1263,6.752678822
1264,5.42929876
1265,5.645132615
1266,5.42929876
1267,7.126264668
1268,5.645132615
1269,5.645132615
1270,5.645132615
1271,5.645132615
1272,5.42929876
1273,5.42929876
1274,5.42929876
1275,5.42929876
1276,5.645132615
1277,5.42929876
1278,7.543949659
1279,5.42929876
1280,5.645132615
1281,7.543949659
1282,7.543949659
1283,5.645132615
1284,5.645132615
1285,7.543949659
1286,5.645132615
1287,5.645132615
1288,5.42929876
1289,5.645132615
1290,5.645132615
1291,5.42929876
1292,5.645132615
1293,5.42929876
1294,5.42929876
1295,5.645132615
1296,5.42929876
1297,5.645132615
1298,7.543949659
1299,4.259099193
1300,7.126264668
1301,7.765243834
1302,7.765243834
1303,7.765243834
1304,7.126264668
1305,6.752678822
1306,5.42929876
1307,7.543949659
1308,5.42929876
1309,5.42929876
1310,5.42929876
1311,5.645132615
1312,5.42929876
1313,5.42929876
1314,5.42929876
1315,7.765243834
1316,7.765243834
1317,7.765243834
1318,5.42929876
1319,5.645132615
1320,5.42929876
1321,5.42929876
1322,5.42929876
1323,7.765243834
1324,5.645132615
1325,5.42929876
1326,5.42929876
1327,5.42929876
1328,6.752678822
1329,5.645132615
1330,5.645132615
1331,5.645132615
1332,5.645132615
1333,5.42929876
1334,2.988320545
1335,7.765243834
1336,5.42929876
1337,5.42929876
1338,5.42929876
1339,7.765243834
1340,7.765243834
1341,7.765243834
1342,5.645132615
1343,7.126264668
1344,6.752678822
1345,7.543949659
1346,5.645132615
1347,5.645132615
1348,7.765243834
1349,5.42929876
1350,5.42929876
1351,7.126264668
1352,5.645132615
1353,5.645132615
1354,5.645132615
1355,5.645132615
1356,7.543949659
1357,5.42929876
1358,5.645132615
1359,5.645132615
1360,5.645132615
1361,5.645132615
1362,5.42929876
1363,7.765243834
1364,5.645132615
1365,5.645132615
1366,5.42929876
1367,7.765243834
1368,5.645132615
1369,7.765243834
1370,5.645132615
1371,5.645132615
1372,5.645132615
1373,5.42929876
1374,5.42929876
1375,5.42929876
1376,5.42929876
1377,5.645132615
1378,7.765243834
1379,5.42929876
1380,5.42929876
1381,5.645132615
1382,5.645132615
1383,5.645132615
1384,7.765243834
1385,7.765243834
1386,7.765243834
1387,5.645132615
1388,5.645132615
1389,5.42929876
1390,7.543949659
1391,5.42929876
1392,5.42929876
1393,5.42929876
1394,5.645132615
1395,1.492249358
1396,1.492249358
1397,2.614003405
1398,1.492249358
1399,1.492249358
1400,1.492249358
1401,1.798502836
1402,1.492249358
1403,1.798502836
1404,1.492249358
1405,2.737697943
1406,7.658255087
1407,1.492249358
1408,2.614003405
1409,2.614003405
1410,2.614003405
1411,1.492249358
1412,2.614003405
1413,1.798502836
1414,1.798502836
1415,7.658255087
1416,1.492249358
1417,1.492249358
1418,1.341716484
1419,1.492249358
1420,1.341716484
1421,7.658255087
1422,1.492249358
1423,1.966110525
1424,1.403544338
1425,5.219432552
1426,3.338043374
1427,3.338043374
1428,2.49182043
1429,3.338043374
1430,3.338043374
1431,3.338043374
1432,3.338043374
1433,3.441639
1434,3.338043374
1435,7.890988976
1436,7.459796542
1437,8.596306647
1438,7.890988976
1439,8.596306647
1440,7.890988976
1441,7.986888296
1442,7.890988976
1443,7.459796542
1444,7.459796542
1445,8.596306647
1446,7.890988976
1447,7.890988976
1448,7.890988976
1449,7.459796542
1450,7.890988976
1451,7.890988976
1452,8.596306647
1453,7.890988976
1454,8.536096783
1455,5.895474045
1456,4.737118435
1457,4.737118435
1458,4.766199963
1459,4.766199963
1460,6.241859819
1461,4.766199963
1462,4.737118435
1463,5.895474045
1464,4.737118435
1465,5.895474045
1466,8.536096783
1467,4.766199963
1468,4.766199963
1469,4.737118435
1470,8.536096783
1471,4.737118435
1472,4.737118435
1473,4.737118435
1474,4.737118435
1475,4.737118435
1476,8.536096783
1477,4.737118435
1478,4.737118435
1479,3.055916915
1480,3.055916915
1481,6.241859819
1482,4.737118435
1483,4.737118435
1484,3.055916915
1485,5.895474045
1486,4.737118435
1487,6.241859819
1488,4.737118435
1489,4.737118435
1490,5.895474045
1491,5.895474045
1492,5.895474045
1493,5.895474045
1494,4.737118435
1495,5.895474045
1496,6.241859819
1497,5.895474045
1498,8.536096783
1499,4.766199963
1500,4.766199963
1501,4.766199963
1502,8.536096783
1503,4.766199963
1504,4.737118435
1505,6.241859819
1506,4.737118435
1507,4.766199963
1508,4.766199963
1509,5.895474045
1510,4.737118435
1511,4.737118435
1512,4.737118435
1513,5.895474045
1514,4.737118435
1515,4.737118435
1516,5.895474045
1517,5.895474045
1518,4.737118435
1519,8.536096783
1520,8.536096783
1521,4.737118435
1522,5.895474045
1523,5.895474045
1524,4.737118435
1525,5.895474045
1526,3.055916915
1527,5.895474045
1528,4.737118435
1529,4.766199963
1530,4.737118435
1531,5.895474045
1532,4.737118435
1533,4.737118435
1534,8.536096783
1535,4.737118435
1536,5.895474045
1537,5.895474045
1538,5.895474045
1539,5.895474045
1540,4.766199963
1541,4.737118435
1542,3.055916915
1543,4.737118435
1544,5.895474045
1545,4.737118435
1546,3.055916915
1547,5.895474045
1548,5.895474045
1549,5.895474045
1550,5.895474045
1551,5.895474045
1552,4.737118435
1553,4.737118435
1554,5.895474045
1555,4.737118435
1556,5.895474045
1557,8.536096783
1558,4.766199963
1559,8.536096783
1560,8.536096783
1561,4.737118435
1562,5.895474045
1563,4.737118435
1564,6.241859819
1565,4.766199963
1566,5.895474045
1567,5.895474045
1568,5.895474045
1569,6.241859819
1570,4.737118435
1571,4.737118435
1572,8.536096783
1573,8.536096783
1574,4.766199963
1575,3.055916915
1576,3.055916915
1577,8.536096783
1578,4.737118435
1579,4.737118435
1580,5.895474045
1581,4.737118435
1582,4.737118435
1583,6.241859819
1584,3.055916915
1585,8.536096783
1586,4.766199963
1587,6.241859819
1588,4.766199963
1589,4.737118435
1590,4.737118435
1591,8.536096783
1592,3.055916915
1593,5.895474045
1594,6.241859819
1595,5.895474045
1596,5.895474045
1597,5.895474045
1598,4.766199963
1599,6.241859819
1600,5.895474045
1601,8.536096783
1602,5.895474045
1603,5.895474045
1604,4.737118435
1605,5.895474045
1606,4.766199963
1607,8.536096783
1608,8.536096783
1609,5.895474045
1610,8.536096783
1611,5.895474045
1612,3.055916915
1613,6.241859819
1614,5.895474045
1615,8.536096783
1616,8.536096783
1617,3.055916915
1618,5.895474045
1619,4.737118435
1620,8.536096783
1621,6.241859819
1622,4.766199963
1623,6.241859819
1624,5.895474045
1625,5.895474045
1626,6.241859819
1627,4.766199963
1628,5.895474045
1629,4.766199963
1630,6.241859819
1631,8.536096783
1632,4.766199963
1633,6.241859819
1634,4.737118435
1635,3.055916915
1636,4.766199963
1637,6.241859819
1638,4.766199963
1639,4.766199963
1640,5.895474045
1641,8.536096783
1642,8.536096783
1643,3.055916915
1644,4.766199963
1645,4.737118435
1646,4.766199963
1647,4.737118435
1648,3.055916915
1649,4.737118435
1650,4.737118435
1651,4.737118435
1652,8.536096783
1653,5.895474045
1654,5.895474045
1655,6.241859819
1656,6.241859819
1657,3.055916915
1658,5.895474045
1659,5.895474045
1660,4.737118435
1661,4.737118435
1662,4.737118435
1663,4.737118435
1664,4.737118435
1665,5.895474045
1666,4.737118435
1667,8.536096783
